brand,cpu,ram_gb,storage_gb,gpu,color_gamut,price,name
ASUS,Core i3,4.0,1024.0,Integrated,100.0,6583310.0,
Lenovo,Core i3,4.0,1024.0,Integrated,100.0,7409810.0,
Lenovo,Core i3,4.0,1024.0,Integrated,100.0,7599810.0,
ASUS,Core i5,8.0,512.0,2 GB GPU,100.0,13298100.0,
ASUS,Celeron Dual,4.0,512.0,Integrated,100.0,5128100.0,
ASUS,Celeron Dual,4.0,512.0,Integrated,100.0,4368100.0,
ASUS,Celeron Dual,4.0,512.0,Integrated,100.0,4178100.0,
ASUS,Core i5,8.0,1024.0,2 GB GPU,100.0,11171810.0,
Lenovo,Core i5,4.0,1024.0,Integrated,100.0,9499810.0,
acer,Ryzen 5,4.0,512.0,4 GB GPU,100.0,11398100.0,
acer,Ryzen 5,4.0,512.0,6 GB GPU,100.0,17803000.0,
acer,Ryzen 5,4.0,512.0,4 GB GPU,100.0,13868100.0,
Avita,Celeron Dual,4.0,512.0,Integrated,100.0,3323100.0,
ASUS,Celeron Dual,4.0,512.0,Integrated,100.0,4368100.0,
ASUS,Core i3,4.0,256.0,Integrated,100.0,6838100.0,
HP,Core i3,8.0,256.0,Integrated,100.0,10733100.0,
HP,Core i5,8.0,256.0,Integrated,100.0,12424100.0,
Lenovo,Celeron Dual,4.0,256.0,Integrated,100.0,6079810.0,
HP,Celeron Dual,8.0,256.0,Integrated,100.0,6173100.0,
Lenovo,Celeron Dual,4.0,256.0,Integrated,100.0,6041810.0,
ASUS,Celeron Dual,4.0,256.0,Integrated,100.0,5679100.0,
ASUS,Celeron Dual,4.0,1024.0,Integrated,100.0,4558100.0,
HP,Core i3,4.0,1024.0,Integrated,100.0,6261450.0,
HP,Core i5,4.0,1024.0,2 GB GPU,100.0,8778000.0,
ASUS,Core i3,4.0,256.0,Integrated,100.0,6541510.0,
Lenovo,Core i3,8.0,256.0,Integrated,100.0,7218100.0,
ASUS,Core i3,4.0,256.0,Integrated,100.0,6838100.0,
ASUS,Core i3,8.0,256.0,Integrated,100.0,6456200.0,
HP,Core i3,8.0,256.0,Integrated,100.0,7598100.0,
DELL,Core i3,8.0,256.0,Integrated,100.0,7503100.0,
HP,Core i3,8.0,256.0,Integrated,100.0,10258100.0,
acer,Core i3,8.0,256.0,Integrated,100.0,7408100.0,
ASUS,Core i3,8.0,256.0,Integrated,100.0,7218100.0,
ASUS,Core i3,8.0,256.0,Integrated,100.0,7199100.0,
Lenovo,Core i3,8.0,256.0,Integrated,100.0,7408100.0,
Lenovo,Core i3,8.0,256.0,Integrated,100.0,7218100.0,
DELL,Core i3,8.0,256.0,Integrated,100.0,7978100.0,
ASUS,Core i3,8.0,256.0,Integrated,100.0,8738100.0,
Lenovo,Core i3,8.0,256.0,Integrated,100.0,7598100.0,
DELL,Core i3,8.0,256.0,Integrated,100.0,8073100.0,
DELL,Core i3,4.0,256.0,Integrated,100.0,7028100.0,
Lenovo,Core i3,8.0,256.0,Integrated,100.0,10258100.0,
ASUS,Core i3,8.0,256.0,Integrated,100.0,7028100.0,
Lenovo,Core i3,4.0,256.0,Integrated,100.0,7398600.0,
DELL,Core i3,4.0,256.0,Integrated,100.0,7503100.0,
ASUS,Core i3,8.0,256.0,Integrated,100.0,8738100.0,
Lenovo,Core i3,8.0,256.0,Integrated,100.0,7599810.0,
DELL,Core i3,8.0,256.0,Integrated,100.0,8168100.0,
DELL,Core i3,8.0,256.0,Integrated,100.0,9498100.0,
DELL,Core i3,8.0,256.0,Integrated,100.0,7883100.0,
DELL,Core i3,8.0,256.0,Integrated,100.0,7978100.0,
Lenovo,Core i3,8.0,256.0,Integrated,100.0,7978100.0,
ASUS,Core i3,8.0,256.0,Integrated,100.0,7313100.0,
Lenovo,Core i3,4.0,256.0,Integrated,100.0,7408100.0,
Lenovo,Core i3,4.0,256.0,Integrated,100.0,8548100.0,
Lenovo,Core i3,4.0,256.0,Integrated,100.0,6933100.0,
Lenovo,Core i3,8.0,256.0,Integrated,100.0,7404300.0,
HP,Core i3,4.0,256.0,Integrated,100.0,8531000.0,
MSI,Core i3,4.0,256.0,Integrated,100.0,7408100.0,
DELL,Core i3,4.0,256.0,Integrated,100.0,8441130.0,
ASUS,Core i3,4.0,256.0,Integrated,100.0,6838100.0,
Lenovo,Core i3,4.0,256.0,Integrated,100.0,7638000.0,
Lenovo,Core i3,4.0,256.0,Integrated,100.0,7788100.0,
DELL,Core i3,4.0,256.0,Integrated,100.0,8073100.0,
acer,Celeron Dual,4.0,512.0,Integrated,100.0,4558100.0,
DELL,Core i3,4.0,256.0,Integrated,100.0,13679810.0,
ASUS,Core i3,4.0,256.0,Integrated,100.0,7598100.0,
Lenovo,Core i3,4.0,256.0,Integrated,100.0,7979620.0,
ASUS,Core i3,4.0,256.0,Integrated,100.0,7978100.0,
Lenovo,Core i3,4.0,256.0,Integrated,100.0,7599810.0,
ASUS,Core i3,4.0,256.0,Integrated,100.0,7598100.0,
Lenovo,Core i3,4.0,256.0,Integrated,100.0,7599620.0,
HP,Core i3,4.0,256.0,Integrated,100.0,8073100.0,
Lenovo,Core i3,4.0,256.0,Integrated,100.0,7978100.0,
ASUS,Core i3,4.0,256.0,Integrated,100.0,9213100.0,
HP,Core i3,4.0,256.0,Integrated,100.0,8431440.0,
DELL,Core i3,4.0,256.0,Integrated,100.0,8341000.0,
DELL,Core i3,4.0,256.0,Integrated,100.0,8871100.0,
Lenovo,Core i3,4.0,256.0,Integrated,100.0,7788100.0,
DELL,Core i3,4.0,256.0,Integrated,100.0,7598100.0,
Lenovo,Core i3,4.0,256.0,Integrated,100.0,8358100.0,
ASUS,Core i3,4.0,256.0,Integrated,100.0,7028100.0,
DELL,Core i3,8.0,256.0,Integrated,100.0,9215000.0,
ASUS,Core i3,8.0,256.0,Integrated,100.0,9308100.0,
ASUS,Celeron Dual,4.0,512.0,Integrated,100.0,4463100.0,
HP,Core i3,4.0,256.0,Integrated,100.0,10305220.0,
ASUS,Core i3,8.0,512.0,Integrated,100.0,7218100.0,
HP,Core i3,8.0,512.0,Integrated,100.0,8168100.0,
HP,Core i3,8.0,512.0,Integrated,100.0,8168100.0,
ASUS,Core i3,4.0,512.0,Integrated,100.0,6838100.0,
ASUS,Core i3,8.0,512.0,Integrated,100.0,8168100.0,
ASUS,Core i3,8.0,512.0,Integrated,100.0,9878100.0,
ASUS,Core i3,8.0,512.0,Integrated,100.0,9308100.0,
ASUS,Core i3,8.0,512.0,Integrated,100.0,8168100.0,
